item,reason,report_id,utility,event_year,field,question,options,answer,confidence,page_refs,document_url,detail
11,conflicting_sources,sce__r1812005_sce_psps_post_event_report_for_12_9_23_de_energization_event,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-post-event-report-for-12-9-23-de-energization-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
12,conflicting_sources,sce__r1812005_sce_psps_post_event_report_for_7_26_26_de_energization_event,SCE,2026,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005-sce-psps-post-event-report-for-7-26-26-de-energization-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005sce-psps-amendment-to-postevent-report-for-july-26-2026-deenergization.pdf
13,conflicting_sources,sce__r1812005_sce_psps_postevent_report_for_11092023_deenergization_event,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-psps-postevent-report-for-11092023-deenergization-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
14,conflicting_sources,sce__r1812005sce_psps_postevent_for_august_1_2025_de_energization,SCE,2025,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-august-1-2025-de-energization.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250801sce-psps-post-event-reportdeenergizedamendment2final.pdf
15,conflicting_sources,sce__r1812005sce_psps_postevent_for_june_10_2025_deenergization,SCE,2025,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005sce-psps-postevent-for-june-10-2025-deenergization.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-2025-amendments/20250610sce-psps-post-event-reportdeenergizedamendment2final.pdf
16,conflicting_sources,sce__r1812005sce_psps_postevent_for_october_28_2025_deenergization,SCE,2025,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-oct-28/r1812005sce-psps-postevent-for-october-28-2025-deenergization.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/sce-oct-28/r1812005-sce-amendment-to-psps-post-event-for-october-28-2025-de-energization.pdf
17,conflicting_sources,sce__sce_psps_post_event_report_10_11_2023_event,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/sce-psps-post-event-report-10-11-2023-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
18,conflicting_sources,sce__sce_psps_post_event_report_7_11_2023_event,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/sce-psps-post-event-report-7-11-2023-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
19,conflicting_sources,sce__sce_psps_post_event_report_7_18_2023_event,SCE,2023,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/sce-psps-post-event-report-7-18-2023-event.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005-sce-corrections-to-2023-psps-post-event-reports.pdf
20,conflicting_sources,sce__sce_psps_postevent_report_for_june_26_2026_deenergization,SCE,2026,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/sce-2026/sce-psps-postevent-report-for-june-26-2026-deenergization.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2026/r1812005sce-psps-amendment-to-postevent-report-for-june-26-2026-deenergization.pdf
21,conflicting_sources,sdge__r1812005_sdge_psps_postevent_report_112426,SDG&E,2021,all fields,A partial correction was filed; check whether it changes any extracted value.,,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sdge-psps-postevent-report-112426.pdf,correction: https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sdge-corrections-to-2021-psps-postseason-and-postevent-reports--5-6-2022.pdf
22,conflicting_sources,sdge__r1812005_sdge_psps_postevent_report_jan_2024_2025_e_serve_2_24_2025,SDG&E,2025,last_restoration,Which last restoration is right?,,2025-01-24 17:06,,235,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf,workbook 2025-01-24 17:06 (sheet Table 3 row 242) vs PDF 2025-01-24 15:48 (page 235)
23,unreadable_page,pge__pge_esrb8_report_for_oct_26_29_2019,PG&E,2019,table pages,Relevant table page(s) could not be read; check the fields that depend on them.,,,,210;215;216;217;218,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/pge-psps-postevent-report-oct-2629-2019-amended.pdf,p210 Table 1-9: Message for Overnight Shutoff Notification (not_transcribed_cap); p215 Table 1-12: Message for Primary Voltage Customer Notifications (not_transcribed_cap); p216 Table 1-13: Message for Cancellation Notification (not_transcribed_cap); p217 Table 1-15: Kern County Special Notification – Weather Continues (not_transcribed_cap); p218 Table 1-16: Kincade Fire Extended Outage Special Notification (not_transcribed_cap)
24,unreadable_page,sce__sce_psps_postevent_report_sept_21oct1_2019_10152019,SCE,2019,table pages,Relevant table page(s) could not be read; check the fields that depend on them.,,,,24;25;26;27;28;29;30;31;32;33;34,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-report-sept-21oct1-2019-10152019.pdf,p24  (unreadable); p25  (unreadable); p26  (unreadable); p27  (unreadable); p28  (unreadable); p29  (unreadable); p30  (unreadable); p31  (not_transcribed_cap); p32  (not_transcribed_cap); p33  (not_transcribed_cap); p34  (not_transcribed_cap)
25,unreadable_page,sdge__r1812005_sdge_psps_postevent_report_112426,SDG&E,2021,table pages,Relevant table page(s) could not be read; check the fields that depend on them.,,,,229;230,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/r1812005-sdge-psps-postevent-report-112426.pdf,p229 Table 14: Claims Filed Against SDG&E Due to De-energization (not_transcribed_cap); p230 Table 17: Summary of Avoided Customer Impacts by Circuit (not_transcribed_cap)
26,unreadable_page,sdge__r1812005_sdge_psps_postevent_report_jan_2024_2025_e_serve_2_24_2025,SDG&E,2025,table pages,Relevant table page(s) could not be read; check the fields that depend on them.,,,,121;122,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-psps-postevent-report-jan-2024-2025-e-serve-2-24-2025.pdf,p121  (unreadable); p122  (unreadable)
27,unreadable_page,sdge__r1812005_sdge_psps_postevent_reportjan_716_2025_eserve,SDG&E,2025,table pages,Relevant table page(s) could not be read; check the fields that depend on them.,,,,124;125,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2025/r1812005-sdge-amended-psps-post-event-report-jan-7-16--2025-2-28-2025-eserve.pdf,p124  (unreadable); p125  (unreadable)
28,unreadable_page,sdge__sdge_psps_postevent_reportnov_26dec_9_12232020,SDG&E,2020,numeric fields,The report was too long for the model; pages after the cut were not read for the numbers.,,,,after 279,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2020/sdge-psps-postevent-reportnov-26dec-9-12232020.pdf,
29,no_matching_page,pge__pge_post_event_report_9302023_event,PG&E,2023,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,
30,no_matching_page,pge__pge_post_event_report_9302023_event,PG&E,2023,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,
31,no_matching_page,pge__pge_post_event_report_9302023_event,PG&E,2023,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,
32,no_matching_page,pge__pge_post_event_report_9302023_event,PG&E,2023,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,
33,no_matching_page,pge__pge_post_event_report_9302023_event,PG&E,2023,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/pge-post-event-report-9302023-event.pdf,
34,no_matching_page,pge__r1812005coverpge12152023_psps_postevent_report01020224,PG&E,2023,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005coverpge12152023-psps-postevent-report01020224.pdf,
35,no_matching_page,pge__r1812005coverpge12152023_psps_postevent_report01020224,PG&E,2023,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005coverpge12152023-psps-postevent-report01020224.pdf,
36,no_matching_page,pge__r1812005coverpge12152023_psps_postevent_report01020224,PG&E,2023,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005coverpge12152023-psps-postevent-report01020224.pdf,
37,no_matching_page,pge__r1812005coverpge12152023_psps_postevent_report01020224,PG&E,2023,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005coverpge12152023-psps-postevent-report01020224.pdf,
38,no_matching_page,pge__r1812005coverpge12152023_psps_postevent_report01020224,PG&E,2023,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2023/r1812005coverpge12152023-psps-postevent-report01020224.pdf,
39,no_matching_page,sce__jan_1221_2021_sce_psps_post_event_report,SCE,2021,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-jan-1221-2021-psps-post-event-report-amended.pdf,
40,no_matching_page,sce__nov_3_7_2020_sce_psps_post_event_report,SCE,2020,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/nov-3-7-2020-sce-psps-post-event-report.pdf,
41,no_matching_page,sce__r1812005_sce_psps_post_event_for_october_1_2024_de_energization,SCE,2024,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,,,73;74,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2024/r1812005-sce-psps-post-event-for-october-1-2024-de-energization.pdf,
42,no_matching_page,sce__sce_apr_1213_2021psps_post_event_report,SCE,2021,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2021/sce-apr-1213-2021psps-post-event-report.pdf,
43,no_matching_page,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,SCE,2019,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-dec-29-2018-jan1-2019.pdf,
44,no_matching_page,sce__sce_esrb_8_report_dec_29_2018_jan1_2019,SCE,2019,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-dec-29-2018-jan1-2019.pdf,
45,no_matching_page,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,SCE,2018,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-november-5-through-november-13-2018.pdf,
46,no_matching_page,sce__sce_esrb_8_report_regarding_november_5_through_november_13_2018,SCE,2018,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sce-esrb-8-report-regarding-november-5-through-november-13-2018.pdf,
47,no_matching_page,sce__sce_oct_16_2020_psps_post_event_report,SCE,2020,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/files/uploadedfiles/cpucwebsite/content/news_room/newsupdates/2020/sce-oct-16-2020-psps-post-event-report.pdf,
48,no_matching_page,sce__sce_post_event_reporting_september_4_through_september_8_2019,SCE,2019,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-report-sept-49-2019-9232019-amended.pdf,
49,no_matching_page,sce__sce_psps_postevent_report_sept_21oct1_2019_10152019,SCE,2019,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,3;4;20;21,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-report-sept-21oct1-2019-10152019.pdf,
50,no_matching_page,sce__sce_psps_postevent_reportaug_1217_2019_8302019,SCE,2019,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,3;4;10;11,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019/sce-psps-postevent-reportaug-1217-2019-8302019.pdf,
51,no_matching_page,sce__sce_psps_postevent_reportsept_919_2019_1032019,SCE,2019,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportsept-919-2019-1032019.pdf,
52,no_matching_page,sce__sce_psps_postevent_reportsept_919_2019_1032019,SCE,2019,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportsept-919-2019-1032019.pdf,
53,no_matching_page,sce__sce_psps_postevent_reportsept_919_2019_1032019,SCE,2019,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportsept-919-2019-1032019.pdf,
54,no_matching_page,sce__sce_psps_postevent_reportsept_919_2019_1032019,SCE,2019,mbl_advance_notice,"Did every Medical Baseline (MBL) customer who lost power in this event have a notification delivered before their power was shut off? A delivered notification or a door-hanger visit counts even if the customer did not confirm receipt. MBL customers who were in scope but never lost power do not count. If the pages say no customers were de-energized in this event, choose not_applicable.",all_notified; some_not_notified; not_stated; not_applicable,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportsept-919-2019-1032019.pdf,
55,no_matching_page,sce__sce_psps_postevent_reportsept_919_2019_1032019,SCE,2019,wind_threshold_cited,Does the report state that observed or forecast wind speeds or gusts met or exceeded the utility's de-energization threshold or wind criterion in an area that was de-energized?,met; not_met; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/consumer-support/documents/psps/2019/sce/sce-psps-postevent-reportsept-919-2019-1032019.pdf,
56,no_matching_page,sdge__sdge_de_energization_report_dec_14_15_2017,SDG&E,2017,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-14-15-2017.pdf,
57,no_matching_page,sdge__sdge_de_energization_report_dec_14_15_2017,SDG&E,2017,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-14-15-2017.pdf,
58,no_matching_page,sdge__sdge_de_energization_report_dec_4_2017,SDG&E,2017,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-4-2017.pdf,
59,no_matching_page,sdge__sdge_de_energization_report_dec_4_2017,SDG&E,2017,claims_reported,How many claims does the report say were filed against the utility because of this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-4-2017.pdf,
60,no_matching_page,sdge__sdge_de_energization_report_dec_4_2017,SDG&E,2017,complaints_reported,How many complaints does the report say were received about this PSPS event?,one_or_more; zero; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-dec-4-2017.pdf,
61,no_matching_page,sdge__sdge_de_energization_report_jan_27_29_2018,SDG&E,2018,canceled_after_notice,Were any customers or areas notified of a possible power shutoff in this event but then not de-energized?,yes; no; not_stated,,,,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/psps-post-event-reports/2019-and-earlier/sdge-de-energization-report-jan-27-29-2018.pdf,
