report_id,field,gold,gold_pages,certain,note
sce__sce_post_event_reporting_september_4_through_september_8_2019,counties_deenergized,1,3,yes,Santa Barbara.
sdge__sdge_oct_26_27_2020_psps_post_event_report,mbl_advance_notice,some_not_notified,14,yes,Three MBL customers had no notification before de-energization on October 26 (clerical error).
sdge__sdge_oct_26_27_2020_psps_post_event_report,wind_threshold_cited,not_stated,8,yes,Gusts in the top 1 percent; no threshold statement.
sdge__sdge_oct_26_27_2020_psps_post_event_report,complaints_reported,zero,20,yes,No complaints as of November 10.
sdge__sdge_oct_26_27_2020_psps_post_event_report,claims_reported,one_or_more,20,yes,Two food loss claims.
sdge__sdge_oct_26_27_2020_psps_post_event_report,canceled_after_notice,yes,11;29,yes,Monitored circuits not de-energized; no longer at risk message sent.
sdge__sdge_oct_26_27_2020_psps_post_event_report,customers_deenergized,4373,12,yes,
sdge__sdge_oct_26_27_2020_psps_post_event_report,first_deenergization,2020-10-26 08:48,10,yes,
sdge__sdge_oct_26_27_2020_psps_post_event_report,last_restoration,2020-10-27 17:19,10,yes,
sdge__sdge_oct_26_27_2020_psps_post_event_report,counties_deenergized,1,10;17,no,Not stated as a count; all devices are in San Diego County.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,mbl_advance_notice,not_applicable,7,yes,No customers were de-energized.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,wind_threshold_cited,not_stated,7;9,yes,No de-energization.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,complaints_reported,zero,27,yes,Zero complaints.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,claims_reported,zero,27,yes,Zero claims.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,canceled_after_notice,yes,8,yes,Table 1: 191 notified; 191 cancelled.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,customers_deenergized,0,7;8,yes,
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,first_deenergization,null,,yes,No de-energization.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,last_restoration,null,,yes,No de-energization.
sce__r1812005sce_psps_postevent_for_november_28_2024_highthreat_event,counties_deenergized,0,8,yes,
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,mbl_advance_notice,all_notified,25,yes,21 of 21 successful positive notification.
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,wind_threshold_cited,met,16,no,Observed wind and FPI no longer met de-energization thresholds as of 6:07 on November 6 (implies they had).
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,complaints_reported,one_or_more,31,yes,Eight complaints.
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,claims_reported,zero,31,yes,Zero claims.
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,canceled_after_notice,yes,8;28,yes,1601 notified; 1145 de-energized.
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,customers_deenergized,1145,7;8,yes,
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,first_deenergization,2025-11-05 05:17,21,yes,Birchim circuit; table lists both de-energized circuits.
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,last_restoration,2025-11-06 09:17,21,yes,
sce__r1812005sce_psps_postevent_for_november_5_2025_deenergization,counties_deenergized,2,8,yes,Inyo and Mono.
pge__10_17_2024_psps_post_event_report,mbl_advance_notice,all_notified,56,no,1116 attempted; 2 not delivered received doorbell rings (footnote 42); the label rule counts door visits as notified.
pge__10_17_2024_psps_post_event_report,wind_threshold_cited,not_stated,4,no,Gusts near 88 mph recorded; no statement that wind met a threshold.
pge__10_17_2024_psps_post_event_report,complaints_reported,one_or_more,78,yes,Table 16.
pge__10_17_2024_psps_post_event_report,claims_reported,one_or_more,79,yes,28 claims.
pge__10_17_2024_psps_post_event_report,canceled_after_notice,yes,9,yes,Table 1: 17850 canceled.
pge__10_17_2024_psps_post_event_report,customers_deenergized,17367,4;9;27,yes,
pge__10_17_2024_psps_post_event_report,first_deenergization,2024-10-17 12:57,4;107,yes,
pge__10_17_2024_psps_post_event_report,last_restoration,2024-10-20 13:18,109,no,Appendix B maximum (Silverado 2104); the extracted version is a redline and shared SCE customers are not in the table.
pge__10_17_2024_psps_post_event_report,counties_deenergized,21,9;27,yes,
